Year,Round,Team 1(Ranking),Team 2(Ranking),Series Winner(Ranking),Upset?,Playoff Format
1982,Finals,Los Angeles Lakers (1),Philadelphia 76ers (3),Los Angeles Lakers (1),No,1977 format
1981,Eastern Conference First Round,Chicago Bulls (5),New York Knicks (4),Chicago Bulls (5),Yes,1977 format
1981,Eastern Conference First Round,Philadelphia 76ers (3),Indiana Pacers (6),Philadelphia 76ers (3),No,1977 format
1981,Western Conference First Round,Houston Rockets (6),Los Angeles Lakers (3),Houston Rockets (6),Yes,1977 format
1981,Western Conference First Round,Kansas City Kings (5),Portland Trail Blazers (4),Kansas City Kings (5),Yes,1977 format
1981,Eastern Conference Semifinals,Boston Celtics (1),Chicago Bulls (5),Boston Celtics (1),No,1977 format
1981,Eastern Conference Semifinals,Philadelphia 76ers (3),Milwaukee Bucks (2),Philadelphia 76ers (3),Yes,1977 format
1981,Western Conference Semifinals,Houston Rockets (6),San Antonio Spurs (2),Houston Rockets (6),Yes,1977 format
1981,Western Conference Semifinals,Kansas City Kings (5),Phoenix Suns (1),Kansas City Kings (5),Yes,1977 format
1981,Eastern Conference Finals,Boston Celtics (1),Philadelphia 76ers (3),Boston Celtics (1),No,1977 format
1981,Western Conference Finals,Houston Rockets (6),Kansas City Kings (5),Houston Rockets (6),Yes,1977 format
1981,Finals,Boston Celtics (1),Houston Rockets (6),Boston Celtics (1),No,1977 format
1980,Eastern Conference First Round,Houston Rockets (4),San Antonio Spurs (5),Houston Rockets (4),No,1977 format
1980,Eastern Conference First Round,Philadelphia 76ers (3),Washington Bullets (6),Philadelphia 76ers (3),No,1977 format
1980,Western Conference First Round,Phoenix Suns (4),Kansas City Kings (5),Phoenix Suns (4),No,1977 format
1980,Western Conference First Round,Seattle SuperSonics (3),Portland Trail Blazers (6),Seattle SuperSonics (3),No,1977 format
1980,Eastern Conference Semifinals,Boston Celtics (1),Houston Rockets (4),Boston Celtics (1),No,1977 format
1980,Eastern Conference Semifinals,Philadelphia 76ers (3),Atlanta Hawks (2),Philadelphia 76ers (3),Yes,1977 format
1980,Western Conference Semifinals,Los Angeles Lakers (1),Phoenix Suns (4),Los Angeles Lakers (1),No,1977 format
1980,Western Conference Semifinals,Seattle SuperSonics (3),Milwaukee Bucks (2),Seattle SuperSonics (3),Yes,1977 format
1980,Eastern Conference Finals,Philadelphia 76ers (3),Boston Celtics (1),Philadelphia 76ers (3),Yes,1977 format
1980,Western Conference Finals,Los Angeles Lakers (1),Seattle SuperSonics (3),Los Angeles Lakers (1),No,1977 format
1980,Finals,Los Angeles Lakers (1),Philadelphia 76ers (3),Los Angeles Lakers (1),No,1977 format
1979,Eastern Conference First Round,Atlanta Hawks (5),Houston Rockets (4),Atlanta Hawks (5),Yes,1977 format
1979,Eastern Conference First Round,Philadelphia 76ers (3),New Jersey Nets (6),Philadelphia 76ers (3),No,1977 format
1979,Western Conference First Round,Los Angeles Lakers (5),Denver Nuggets (4),Los Angeles Lakers (5),Yes,1977 format
1979,Western Conference First Round,Phoenix Suns (3),Portland Trail Blazers (6),Phoenix Suns (3),No,1977 format
1979,Eastern Conference Semifinals,San Antonio Spurs (2),Philadelphia 76ers (3),San Antonio Spurs (2),No,1977 format
1979,Eastern Conference Semifinals,Washington Bullets (1),Atlanta Hawks (5),Washington Bullets (1),No,1977 format
1979,Western Conference Semifinals,Phoenix Suns (3),Kansas City Kings (2),Phoenix Suns (3),Yes,1977 format
1979,Western Conference Semifinals,Seattle SuperSonics (1),Los Angeles Lakers (5),Seattle SuperSonics (1),No,1977 format
1979,Eastern Conference Finals,Washington Bullets (1),San Antonio Spurs (2),Washington Bullets (1),No,1977 format
1979,Western Conference Finals,Seattle SuperSonics (1),Phoenix Suns (3),Seattle SuperSonics (1),No,1977 format
1979,Finals,Seattle SuperSonics (1),Washington Bullets (1),Seattle SuperSonics (1),No,1977 format
1978,Eastern Conference First Round,New York Knicks (5),Cleveland Cavaliers (4),New York Knicks (5),Yes,1977 format
1978,Eastern Conference First Round,Washington Bullets (3),Atlanta Hawks (6),Washington Bullets (3),No,1977 format
1978,Western Conference First Round,Milwaukee Bucks (6),Phoenix Suns (3),Milwaukee Bucks (6),Yes,1977 format
1978,Western Conference First Round,Seattle SuperSonics (4),Los Angeles Lakers (5),Seattle SuperSonics (4),No,1977 format
1978,Eastern Conference Semifinals,Philadelphia 76ers (1),New York Knicks (5),Philadelphia 76ers (1),No,1977 format
1978,Eastern Conference Semifinals,Washington Bullets (3),San Antonio Spurs (2),Washington Bullets (3),Yes,1977 format
1978,Western Conference Semifinals,Denver Nuggets (2),Milwaukee Bucks (6),Denver Nuggets (2),No,1977 format
1978,Western Conference Semifinals,Seattle SuperSonics (4),Portland Trail Blazers (1),Seattle SuperSonics (4),Yes,1977 format
1978,Eastern Conference Finals,Washington Bullets (3),Philadelphia 76ers (1),Washington Bullets (3),Yes,1977 format
1978,Western Conference Finals,Seattle SuperSonics (4),Denver Nuggets (2),Seattle SuperSonics (4),Yes,1977 format
1978,Finals,Washington Bullets (3),Seattle SuperSonics (4),Washington Bullets (3),No,1977 format
1977,Eastern Conference First Round,Boston Celtics (4),San Antonio Spurs (5),Boston Celtics (4),No,1977 format
1977,Eastern Conference First Round,Washington Bullets (3),Cleveland Cavaliers (6),Washington Bullets (3),No,1977 format
1977,Western Conference First Round,Golden State Warriors (4),Detroit Pistons (5),Golden State Warriors (4),No,1977 format
1977,Western Conference First Round,Portland Trail Blazers (3),Chicago Bulls (6),Portland Trail Blazers (3),No,1977 format
1977,Eastern Conference Semifinals,Houston Rockets (2),Washington Bullets (3),Houston Rockets (2),No,1977 format
1977,Eastern Conference Semifinals,Philadelphia 76ers (1),Boston Celtics (4),Philadelphia 76ers (1),No,1977 format
1977,Western Conference Semifinals,Los Angeles Lakers (1),Golden State Warriors (4),Los Angeles Lakers (1),No,1977 format
1977,Western Conference Semifinals,Portland Trail Blazers (3),Denver Nuggets (2),Portland Trail Blazers (3),Yes,1977 format
1977,Eastern Conference Finals,Philadelphia 76ers (1),Houston Rockets (2),Philadelphia 76ers (1),No,1977 format
1977,Western Conference Finals,Portland Trail Blazers (3),Los Angeles Lakers (1),Portland Trail Blazers (3),Yes,1977 format
1977,Finals,Portland Trail Blazers (3),Philadelphia 76ers (1),Portland Trail Blazers (3),Yes,1977 format
1976,Eastern Conference First Round,Buffalo Braves (5),Philadelphia 76ers (4),Buffalo Braves (5),Yes,1975 format
1976,Western Conference First Round,Detroit Pistons (5),Milwaukee Bucks (4),Detroit Pistons (5),Yes,1975 format
1976,Eastern Conference Semifinals,Boston Celtics (1),Buffalo Braves (5),Boston Celtics (1),No,1975 format
1976,Eastern Conference Semifinals,Cleveland Cavaliers (2),Washington Bullets (3),Cleveland Cavaliers (2),No,1975 format
1976,Western Conference Semifinals,Golden State Warriors (1),Detroit Pistons (5),Golden State Warriors (1),No,1975 format
1976,Western Conference Semifinals,Phoenix Suns (3),Seattle SuperSonics (2),Phoenix Suns (3),Yes,1975 format
1976,Eastern Conference Finals,Boston Celtics (1),Cleveland Cavaliers (2),Boston Celtics (1),No,1975 format
1976,Western Conference Finals,Phoenix Suns (3),Golden State Warriors (1),Phoenix Suns (3),Yes,1975 format
1976,Finals,Boston Celtics (1),Phoenix Suns (3),Boston Celtics (1),No,1975 format
1976,First Round,Kentucky Colonels (4),Indiana Pacers (5),Kentucky Colonels (4),No,1975 format
1976,Semifinals,Denver Nuggets (1),Kentucky Colonels (4),Denver Nuggets (1),No,1975 format
1976,Semifinals,New York Nets (2),San Antonio Spurs (3),New York Nets (2),No,1975 format
1976,Finals,New York Nets (2),Denver Nuggets (1),New York Nets (2),Yes,1975 format
1975,Eastern Conference First Round,Houston Rockets (4),New York Knicks (5),Houston Rockets (4),No,1975 format
1975,Western Conference First Round,Seattle SuperSonics (4),Detroit Pistons (5),Seattle SuperSonics (4),No,1975 format
1975,Eastern Conference Semifinals,Boston Celtics (1),Houston Rockets (4),Boston Celtics (1),No,1975 format
1975,Eastern Conference Semifinals,Washington Bullets (2),Buffalo Braves (3),Washington Bullets (2),No,1975 format
1975,Western Conference Semifinals,Chicago Bulls (2),Omaha Kings (3),Chicago Bulls (2),No,1975 format
1975,Western Conference Semifinals,Golden State Warriors (1),Seattle SuperSonics (4),Golden State Warriors (1),No,1975 format
1975,Eastern Conference Finals,Washington Bullets (2),Boston Celtics (1),Washington Bullets (2),Yes,1975 format
1975,Western Conference Finals,Golden State Warriors (1),Chicago Bulls (2),Golden State Warriors (1),No,1975 format
1975,Finals,Golden State Warriors (1),Washington Bullets (2),Golden State Warriors (1),No,1975 format
1975,Eastern Division Semifinals,Kentucky Colonels (1),Memphis Sounds (4),Kentucky Colonels (1),No,1975 format
1975,Eastern Division Semifinals, Louis (3),New York Nets (2), Louis (3),Yes,1975 format
1975,Western Division Semifinals,Denver Nuggets (1),Utah Stars (4),Denver Nuggets (1),No,1975 format
1975,Western Division Semifinals,Indiana Pacers (3),San Antonio Spurs (2),Indiana Pacers (3),Yes,1975 format
1975,Eastern Division Finals,Kentucky Colonels (1), Louis (3),Kentucky Colonels (1),No,1975 format
1975,Western Division Finals,Indiana Pacers (3),Denver Nuggets (1),Indiana Pacers (3),Yes,1975 format
1975,Finals,Kentucky Colonels (1),Indiana Pacers (3),Kentucky Colonels (1),No,1975 format
1974,Eastern Conference Semifinals,Boston Celtics (1),Buffalo Braves (4),Boston Celtics (1),No,1970 format
1974,Eastern Conference Semifinals,New York Knicks (2),Capital Bullets (3),New York Knicks (2),No,1970 format
1974,Western Conference Semifinals,Chicago Bulls (2),Detroit Pistons (3),Chicago Bulls (2),No,1970 format
1974,Western Conference Semifinals,Milwaukee Bucks (1),Los Angeles Lakers (4),Milwaukee Bucks (1),No,1970 format
1974,Eastern Conference Finals,Boston Celtics (1),New York Knicks (2),Boston Celtics (1),No,1970 format
1974,Western Conference Finals,Milwaukee Bucks (1),Chicago Bulls (2),Milwaukee Bucks (1),No,1970 format
1974,Finals,Boston Celtics (1),Milwaukee Bucks (1),Boston Celtics (1),No,1970 format
1974,Eastern Division Semifinals,Kentucky Colonels (2),Carolina Cougars (3),Kentucky Colonels (2),No,1970 format
1974,Eastern Division Semifinals,New York Nets (1),Virginia Squires (4),New York Nets (1),No,1970 format
1974,Western Division Semifinals,Indiana Pacers (2),San Antonio Spurs (3),Indiana Pacers (2),No,1970 format
1974,Western Division Semifinals,Utah Stars (1),San Diego Conquistadors (4),Utah Stars (1),No,1970 format
1974,Eastern Division Finals,New York Nets (1),Kentucky Colonels (2),New York Nets (1),No,1970 format
1974,Western Division Finals,Utah Stars (1),Indiana Pacers (2),Utah Stars (1),No,1970 format
1974,Finals,New York Nets (1),Utah Stars (1),New York Nets (1),No,1970 format
1973,Eastern Conference Semifinals,Boston Celtics (1),Atlanta Hawks (4),Boston Celtics (1),No,1970 format
1973,Eastern Conference Semifinals,New York Knicks (2),Baltimore Bullets (3),New York Knicks (2),No,1970 format
1973,Western Conference Semifinals,Golden State Warriors (4),Milwaukee Bucks (1),Golden State Warriors (4),Yes,1970 format
1973,Western Conference Semifinals,Los Angeles Lakers (2),Chicago Bulls (3),Los Angeles Lakers (2),No,1970 format
1973,Eastern Conference Finals,New York Knicks (2),Boston Celtics (1),New York Knicks (2),Yes,1970 format
1973,Western Conference Finals,Los Angeles Lakers (2),Golden State Warriors (4),Los Angeles Lakers (2),No,1970 format
1973,Finals,New York Knicks (2),Los Angeles Lakers (2),New York Knicks (2),No,1970 format
1973,Eastern Division Semifinals,Carolina Cougars (1),New York Nets (4),Carolina Cougars (1),No,1970 format
1973,Eastern Division Semifinals,Kentucky Colonels (2),Virginia Squires (3),Kentucky Colonels (2),No,1970 format
1973,Western Division Semifinals,Indiana Pacers (2),Denver Rockets (3),Indiana Pacers (2),No,1970 format
1973,Western Division Semifinals,Utah Stars (1),San Diego Conquistadors (4),Utah Stars (1),No,1970 format
1973,Eastern Division Finals,Kentucky Colonels (2),Carolina Cougars (1),Kentucky Colonels (2),Yes,1970 format
1973,Western Division Finals,Indiana Pacers (2),Utah Stars (1),Indiana Pacers (2),Yes,1970 format
1973,Finals,Indiana Pacers (2),Kentucky Colonels (2),Indiana Pacers (2),No,1970 format
1972,Eastern Conference Semifinals,Boston Celtics (1),Atlanta Hawks (2),Boston Celtics (1),No,1970 format
1972,Eastern Conference Semifinals,New York Knicks (2),Baltimore Bullets (1),New York Knicks (2),Yes,1970 format
1972,Western Conference Semifinals,Los Angeles Lakers (1),Chicago Bulls (2),Los Angeles Lakers (1),No,1970 format
1972,Western Conference Semifinals,Milwaukee Bucks (1),Golden State Warriors (2),Milwaukee Bucks (1),No,1970 format
1972,Eastern Conference Finals,New York Knicks (2),Boston Celtics (1),New York Knicks (2),Yes,1970 format
1972,Western Conference Finals,Los Angeles Lakers (1),Milwaukee Bucks (1),Los Angeles Lakers (1),No,1970 format
1972,Finals,Los Angeles Lakers (1),New York Knicks (2),Los Angeles Lakers (1),No,1970 format
1972,Eastern Division Semifinals,New York Nets (3),Kentucky Colonels (1),New York Nets (3),Yes,1970 format
1972,Eastern Division Semifinals,Virginia Squires (2),The Floridians (4),Virginia Squires (2),No,1970 format
1972,Western Division Semifinals,Indiana Pacers (2),Denver Rockets (4),Indiana Pacers (2),No,1970 format
1972,Western Division Semifinals,Utah Stars (1),Dallas Chaparrals (3),Utah Stars (1),No,1970 format
1972,Eastern Division Finals,New York Nets (3),Virginia Squires (2),New York Nets (3),Yes,1970 format
1972,Western Division Finals,Indiana Pacers (2),Utah Stars (1),Indiana Pacers (2),Yes,1970 format
1972,Finals,Indiana Pacers (2),New York Nets (3),Indiana Pacers (2),No,1970 format
1971,Eastern Conference Semifinals,Baltimore Bullets (1),Philadelphia 76ers (2),Baltimore Bullets (1),No,1970 format
1971,Eastern Conference Semifinals,New York Knicks (1),Atlanta Hawks (2),New York Knicks (1),No,1970 format
1971,Western Conference Semifinals,Los Angeles Lakers (1),Chicago Bulls (2),Los Angeles Lakers (1),No,1970 format
1971,Western Conference Semifinals,Milwaukee Bucks (1),San Francisco Warriors (2),Milwaukee Bucks (1),No,1970 format
1971,Eastern Conference Finals,Baltimore Bullets (1),New York Knicks (1),Baltimore Bullets (1),No,1970 format
1971,Western Conference Finals,Milwaukee Bucks (1),Los Angeles Lakers (1),Milwaukee Bucks (1),No,1970 format
1971,Finals,Milwaukee Bucks (1),Baltimore Bullets (1),Milwaukee Bucks (1),No,1970 format
1971,Eastern Division Semifinals,Kentucky Colonels (2),The Floridians (4),Kentucky Colonels (2),No,1970 format
1971,Eastern Division Semifinals,Virginia Squires (1),New York Nets (3),Virginia Squires (1),No,1970 format
1971,Western Division Semifinals,Indiana Pacers (1),Memphis Pros (3),Indiana Pacers (1),No,1970 format
1971,Western Division Semifinals,Utah Stars (2),Texas Chaparrals (4),Utah Stars (2),No,1970 format
1971,Eastern Division Finals,Kentucky Colonels (2),Virginia Squires (1),Kentucky Colonels (2),Yes,1970 format
1971,Western Division Finals,Utah Stars (2),Indiana Pacers (1),Utah Stars (2),Yes,1970 format
1971,Finals,Utah Stars (2),Kentucky Colonels (2),Utah Stars (2),No,1970 format
1970,Eastern Division Semifinals,Milwaukee Bucks (2),Philadelphia 76ers (4),Milwaukee Bucks (2),No,1970 format
1970,Eastern Division Semifinals,New York Knicks (1),Baltimore Bullets (3),New York Knicks (1),No,1970 format
1970,Western Division Semifinals,Atlanta Hawks (1),Chicago Bulls (3),Atlanta Hawks (1),No,1970 format
1970,Western Division Semifinals,Los Angeles Lakers (2),Phoenix Suns (4),Los Angeles Lakers (2),No,1970 format
1970,Eastern Division Finals,New York Knicks (1),Milwaukee Bucks (2),New York Knicks (1),No,1970 format
1970,Western Division Finals,Los Angeles Lakers (2),Atlanta Hawks (1),Los Angeles Lakers (2),Yes,1970 format
1970,Finals,New York Knicks (1),Los Angeles Lakers (2),New York Knicks (1),No,1970 format
1970,Eastern Division Semifinals,Indiana Pacers (1),Carolina Cougars (3),Indiana Pacers (1),No,1970 format
1970,Eastern Division Semifinals,Kentucky Colonels (2),New York Nets (4),Kentucky Colonels (2),No,1970 format
1970,Western Division Semifinals,Denver Rockets (1),Washington Capitols (3),Denver Rockets (1),No,1970 format
1970,Western Division Semifinals,Los Angeles Stars (4),Dallas Chaparrals (2),Los Angeles Stars (4),Yes,1970 format
1970,Eastern Division Finals,Indiana Pacers (1),Kentucky Colonels (2),Indiana Pacers (1),No,1970 format
1970,Western Division Finals,Los Angeles Stars (4),Denver Rockets (1),Los Angeles Stars (4),Yes,1970 format
1970,Finals,Indiana Pacers (1),Los Angeles Stars (4),Indiana Pacers (1),No,1970 format
1969,Eastern Division Semifinals,Boston Celtics (4),Philadelphia 76ers (2),Boston Celtics (4),Yes,older formats
1969,Eastern Division Semifinals,New York Knicks (3),Baltimore Bullets (1),New York Knicks (3),Yes,older formats
1969,Western Division Semifinals,Atlanta Hawks (2),San Diego Rockets (4),Atlanta Hawks (2),No,older formats
1969,Western Division Semifinals,Los Angeles Lakers (1),San Francisco Warriors (3),Los Angeles Lakers (1),No,older formats
1969,Eastern Division Finals,Boston Celtics (4),New York Knicks (3),Boston Celtics (4),Yes,older formats
1969,Western Division Finals,Los Angeles Lakers (1),Atlanta Hawks (2),Los Angeles Lakers (1),No,older formats
1969,Finals,Boston Celtics (4),Los Angeles Lakers (1),Boston Celtics (4),Yes,older formats
1969,Eastern Division Semifinals,Indiana Pacers (1),Kentucky Colonels (3),Indiana Pacers (1),No,older formats
1969,Eastern Division Semifinals,Miami Floridians (2),Minnesota Pipers (4),Miami Floridians (2),No,older formats
1969,Western Division Semifinals,New Orleans Buccaneers (2),Dallas Chaparrals (4),New Orleans Buccaneers (2),No,older formats
1969,Western Division Semifinals,Oakland Oaks (1),Denver Rockets (3),Oakland Oaks (1),No,older formats
1969,Eastern Division Finals,Indiana Pacers (1),Miami Floridians (2),Indiana Pacers (1),No,older formats
1969,Western Division Finals,Oakland Oaks (1),New Orleans Buccaneers (2),Oakland Oaks (1),No,older formats
1969,Finals,Oakland Oaks (1),Indiana Pacers (1),Oakland Oaks (1),No,older formats
1968,Eastern Division Semifinals,Boston Celtics (2),Detroit Pistons (4),Boston Celtics (2),No,older formats
1968,Eastern Division Semifinals,Philadelphia 76ers (1),New York Knicks (3),Philadelphia 76ers (1),No,older formats
1968,Western Division Semifinals,Los Angeles Lakers (2),Chicago Bulls (4),Los Angeles Lakers (2),No,older formats
1968,Western Division Semifinals,San Francisco Warriors (3), Louis Hawks (1),San Francisco Warriors (3),Yes,older formats
1968,Eastern Division Finals,Boston Celtics (2),Philadelphia 76ers (1),Boston Celtics (2),Yes,older formats
1968,Western Division Finals,Los Angeles Lakers (2),San Francisco Warriors (3),Los Angeles Lakers (2),No,older formats
1968,Finals,Boston Celtics (2),Los Angeles Lakers (2),Boston Celtics (2),No,older formats
1968,Eastern Division Semifinals,Minnesota Muskies (2),Kentucky Colonels (4),Minnesota Muskies (2),No,older formats
1968,Eastern Division Semifinals,Pittsburgh Pipers (1),Indiana Pacers (3),Pittsburgh Pipers (1),No,older formats
1968,Western Division Semifinals,Dallas Chaparrals (2),Houston Mavericks (4),Dallas Chaparrals (2),No,older formats
1968,Western Division Semifinals,New Orleans Buccaneers (1),Denver Rockets (3),New Orleans Buccaneers (1),No,older formats
1968,Eastern Division Finals,Pittsburgh Pipers (1),Minnesota Muskies (2),Pittsburgh Pipers (1),No,older formats
1968,Western Division Finals,New Orleans Buccaneers (1),Dallas Chaparrals (2),New Orleans Buccaneers (1),No,older formats
1968,Finals,Pittsburgh Pipers (1),New Orleans Buccaneers (1),Pittsburgh Pipers (1),No,older formats
1967,Eastern Division Semifinals,Boston Celtics (2),New York Knicks (4),Boston Celtics (2),No,older formats
1967,Eastern Division Semifinals,Philadelphia 76ers (1),Cincinnati Royals (3),Philadelphia 76ers (1),No,older formats
1967,Western Division Semifinals,San Francisco Warriors (1),Los Angeles Lakers (3),San Francisco Warriors (1),No,older formats
1967,Western Division Semifinals, Louis Hawks (2),Chicago Bulls (4), Louis Hawks (2),No,older formats
1967,Eastern Division Finals,Philadelphia 76ers (1),Boston Celtics (2),Philadelphia 76ers (1),No,older formats
1967,Western Division Finals,San Francisco Warriors (1), Louis Hawks (2),San Francisco Warriors (1),No,older formats
1967,Finals,Philadelphia 76ers (1),San Francisco Warriors (1),Philadelphia 76ers (1),No,older formats
1966,Eastern Division Semifinals,Boston Celtics (2),Cincinnati Royals (3),Boston Celtics (2),No,older formats
1966,Western Division Semifinals, Louis Hawks (3),Baltimore Bullets (2), Louis Hawks (3),Yes,older formats
1966,Eastern Division Finals,Boston Celtics (2),Philadelphia 76ers (1),Boston Celtics (2),Yes,older formats
1966,Western Division Finals,Los Angeles Lakers (1), Louis Hawks (3),Los Angeles Lakers (1),No,older formats
1966,Finals,Boston Celtics (2),Los Angeles Lakers (1),Boston Celtics (2),Yes,older formats
1965,Eastern Division Semifinals,Philadelphia 76ers (3),Cincinnati Royals (2),Philadelphia 76ers (3),Yes,older formats
1965,Western Division Semifinals,Baltimore Bullets (3), Louis Hawks (2),Baltimore Bullets (3),Yes,older formats
1965,Eastern Division Finals,Boston Celtics (1),Philadelphia 76ers (3),Boston Celtics (1),No,older formats
1965,Western Division Finals,Los Angeles Lakers (1),Baltimore Bullets (3),Los Angeles Lakers (1),No,older formats
1965,Finals,Boston Celtics (1),Los Angeles Lakers (1),Boston Celtics (1),No,older formats
1964,Eastern Division Semifinals,Cincinnati Royals (2),Philadelphia 76ers (3),Cincinnati Royals (2),No,older formats
1964,Western Division Semifinals, Louis Hawks (2),Los Angeles Lakers (3), Louis Hawks (2),No,older formats
1964,Eastern Division Finals,Boston Celtics (1),Cincinnati Royals (2),Boston Celtics (1),No,older formats
1964,Western Division Finals,San Francisco Warriors (1), Louis Hawks (2),San Francisco Warriors (1),No,older formats
1964,Finals,Boston Celtics (1),San Francisco Warriors (1),Boston Celtics (1),No,older formats
1963,Eastern Division Semifinals,Cincinnati Royals (3),Syracuse Nationals (2),Cincinnati Royals (3),Yes,older formats
1963,Western Division Semifinals, Louis Hawks (2),Detroit Pistons (3), Louis Hawks (2),No,older formats
1963,Eastern Division Finals,Boston Celtics (1),Cincinnati Royals (3),Boston Celtics (1),No,older formats
1963,Western Division Finals,Los Angeles Lakers (1), Louis Hawks (2),Los Angeles Lakers (1),No,older formats
1963,Finals,Boston Celtics (1),Los Angeles Lakers (1),Boston Celtics (1),No,older formats
1962,Eastern Division Semifinals,Philadelphia Warriors (2),Syracuse Nationals (3),Philadelphia Warriors (2),No,older formats
1962,Western Division Semifinals,Detroit Pistons (3),Cincinnati Royals (2),Detroit Pistons (3),Yes,older formats
1962,Eastern Division Finals,Boston Celtics (1),Philadelphia Warriors (2),Boston Celtics (1),No,older formats
1962,Western Division Finals,Los Angeles Lakers (1),Detroit Pistons (3),Los Angeles Lakers (1),No,older formats
1962,Finals,Boston Celtics (1),Los Angeles Lakers (1),Boston Celtics (1),No,older formats
1961,Eastern Division Semifinals,Syracuse Nationals (3),Philadelphia Warriors (2),Syracuse Nationals (3),Yes,older formats
1961,Western Division Semifinals,Los Angeles Lakers (2),Detroit Pistons (3),Los Angeles Lakers (2),No,older formats
1961,Eastern Division Finals,Boston Celtics (1),Syracuse Nationals (3),Boston Celtics (1),No,older formats
1961,Western Division Finals, Louis Hawks (1),Los Angeles Lakers (2), Louis Hawks (1),No,older formats
1961,Finals,Boston Celtics (1), Louis Hawks (1),Boston Celtics (1),No,older formats
1960,Eastern Division Semifinals,Philadelphia Warriors (2),Syracuse Nationals (3),Philadelphia Warriors (2),No,older formats
1960,Western Division Semifinals,Minneapolis Lakers (3),Detroit Pistons (2),Minneapolis Lakers (3),Yes,older formats
1960,Eastern Division Finals,Boston Celtics (1),Philadelphia Warriors (2),Boston Celtics (1),No,older formats
1960,Western Division Finals, Louis Hawks (1),Minneapolis Lakers (3), Louis Hawks (1),No,older formats
1960,Finals,Boston Celtics (1), Louis Hawks (1),Boston Celtics (1),No,older formats
1959,Eastern Division Semifinals,Syracuse Nationals (3),New York Knicks (2),Syracuse Nationals (3),Yes,older formats
1959,Western Division Semifinals,Minneapolis Lakers (2),Detroit Pistons (3),Minneapolis Lakers (2),No,older formats
1959,Eastern Division Finals,Boston Celtics (1),Syracuse Nationals (3),Boston Celtics (1),No,older formats
1959,Western Division Finals,Minneapolis Lakers (2), Louis Hawks (1),Minneapolis Lakers (2),Yes,older formats
1959,Finals,Boston Celtics (1),Minneapolis Lakers (2),Boston Celtics (1),No,older formats
1958,Eastern Division Semifinals,Philadelphia Warriors (3),Syracuse Nationals (2),Philadelphia Warriors (3),Yes,older formats
1958,Western Division Semifinals,Detroit Pistons (2),Cincinnati Royals (3),Detroit Pistons (2),No,older formats
1958,Eastern Division Finals,Boston Celtics (1),Philadelphia Warriors (3),Boston Celtics (1),No,older formats
1958,Western Division Finals, Louis Hawks (1),Detroit Pistons (2), Louis Hawks (1),No,older formats
1958,Finals, Louis Hawks (1),Boston Celtics (1), Louis Hawks (1),No,older formats
1957,Eastern Division Semifinals,Syracuse Nationals (2),Philadelphia Warriors (3),Syracuse Nationals (2),No,older formats
1957,Western Division Semifinals,Minneapolis Lakers (2),Fort Wayne Pistons (3),Minneapolis Lakers (2),No,older formats
1957,Eastern Division Finals,Boston Celtics (1),Syracuse Nationals (2),Boston Celtics (1),No,older formats
1957,Western Division Finals, Louis Hawks (1),Minneapolis Lakers (2), Louis Hawks (1),No,older formats
1957,Finals,Boston Celtics (1), Louis Hawks (1),Boston Celtics (1),No,older formats
1956,Eastern Division Semifinals,Syracuse Nationals (3),Boston Celtics (2),Syracuse Nationals (3),Yes,older formats
1956,Western Division Semifinals, Louis Hawks (3),Minneapolis Lakers (2), Louis Hawks (3),Yes,older formats
1956,Eastern Division Finals,Philadelphia Warriors (1),Syracuse Nationals (3),Philadelphia Warriors (1),No,older formats
1956,Western Division Finals,Fort Wayne Pistons (1), Louis Hawks (3),Fort Wayne Pistons (1),No,older formats
1956,Finals,Philadelphia Warriors (1),Fort Wayne Pistons (1),Philadelphia Warriors (1),No,older formats
1955,Eastern Division Semifinals,Boston Celtics (3),New York Knicks (2),Boston Celtics (3),Yes,older formats
1955,Western Division Semifinals,Minneapolis Lakers (2),Rochester Royals (3),Minneapolis Lakers (2),No,older formats
1955,Eastern Division Finals,Syracuse Nationals (1),Boston Celtics (3),Syracuse Nationals (1),No,older formats
1955,Western Division Finals,Fort Wayne Pistons (1),Minneapolis Lakers (2),Fort Wayne Pistons (1),No,older formats
1955,Finals,Syracuse Nationals (1),Fort Wayne Pistons (1),Syracuse Nationals (1),No,older formats
1954,Eastern Division Finals,Syracuse Nationals (1),Boston Celtics (2),Syracuse Nationals (1),No,older formats
1954,Western Division Finals,Minneapolis Lakers (1),Rochester Royals (2),Minneapolis Lakers (1),No,older formats
1954,Finals,Minneapolis Lakers (1),Syracuse Nationals (1),Minneapolis Lakers (1),No,older formats
1953,Eastern Division Semifinals,Boston Celtics (3),Syracuse Nationals (2),Boston Celtics (3),Yes,older formats
1953,Eastern Division Semifinals,New York Knicks (1),Baltimore Bullets (4),New York Knicks (1),No,older formats
1953,Western Division Semifinals,Fort Wayne Pistons (3),Rochester Royals (2),Fort Wayne Pistons (3),Yes,older formats
1953,Western Division Semifinals,Minneapolis Lakers (1),Indianapolis Olympians (4),Minneapolis Lakers (1),No,older formats
1953,Eastern Division Finals,New York Knicks (1),Boston Celtics (3),New York Knicks (1),No,older formats
1953,Western Division Finals,Minneapolis Lakers (1),Fort Wayne Pistons (3),Minneapolis Lakers (1),No,older formats
1953,Finals,Minneapolis Lakers (1),New York Knicks (1),Minneapolis Lakers (1),No,older formats
